acute|acu|sharp or severe in effect
acupuncture|acu,punct|insertion of needles
accurate|acu|precise; exact
aerobiosis|aero,bio|life in an environment with air
aerodynamic|aero,dyna|air in motion
aerosinusitis|aero,itis,sinus|air causes inflammation to sinuses
aerostatic|aero|air not changing
anthropomancy|anthrop,mancy|human sacrifice divintation
anthropomorphic|anthrop,morph|resembling human
anthropophagy|anthrop,phag|eating humans
antibiotic|anti,bio|preventing life
aquamarine|aqua,mar|sea water
aquaphobia|aqua,phob|fear of water
arthritis|arthr,itis|joint inflammation
arthropod|arthr,pod|jointed foot
bicycle|bi,cycl|two circles
biocide|bio,cide|killing life
biography|bio,graph|writing of your life
biology|bio,logy|study of life
bipod|bi,pod|two feet
blennadenitis|blenn,itis|inflammation of mucas glands
blennophobia|blenn,phob|fear of slime
blennostasis|blenn,stasis|suppression of mucas
brachiosaurus|brachio,saurus|armed lizard
bronchitis|bronch,itis|windpipe inflammation
bronchotomy|bronch,tom|windpipe insicion
brontology|bronto|study of thunder
brontophobia|bronto,phob|fear of thunder
brontosaurus|bronto,saurus|thunder lizard
cephalomancy|cephal,mancy|head divination
cephalopod|cephal,pod|head foot
ceratosaurus|cerat,saurus|horned lizard
chiromancy|chir,mancy|hand divination
chiropter|chir,pter|hand wing
chlorosis|chlor,osis|having green skin
claustrophobia|claus,phob|fear of closed spaces
connect|con,nex|join together
contend|con,tend|with strain
cryptography|crypt,graph|hidden writing
cyclops|cycl,ops|circular face
dactylology|dactyl,logy|study of fingers; sign language
decahedron|dec,hedron|ten face
dermatology|derm,logy|study of skin
dermatosis|derm,osis|having any skin disease
dinosaur|dino,saurus|terrifying lizard
dysfunction|dys,funct|functioning badly
dysmorphic|dys,morph|badly shaped
dysphonia|dys,phon|bad sound
enterobacteria|entero|intestine bacteria
enterology|entero,logy|study of intestine
entomophagous|en,phag,tom|eating insects
exclude|claus,ex|shut out
extend|ex,tend|stretchout
extrusion|ex|thrust out
fraticide|cide,frater|killing brother
gastrectomy|gastr,tom|surgical stomach removal
gastritis|gastr,itis|stomach inflammation
gastroenterology|entero,gastr,logy|stomach intestine study
gastropod|gastr,pod|stomach foot
genocide|cide,geno|killing a race
halitosis|hal,osis|state of having bad breath
helicograph|graph,helico|instument to draw spirals
helicopter|helico,pter|spiral wing
hexagon|gon,hex|six angle
hexahedron|hedron,hex|six face
homicide|cide,homin|human killing
homophone|hom,phon|same sound
hydro|aqua,hydrochloric|water
hydrochloric|chlor|green acid water
hypnosis|hypn,osis|the state of sleep
keratosis|cerat,osis|having horny-like growth
metamorphosis|meta,morph,osis|action of changing shape
monochrome|chrom,mon|one color
monograph|graph,mon|one writer
monologue|logy,mon|one speaker
monophonic|mon,phon|one sound
monopoly|mon,polien|one seller
monotreme|mon,trema|one hole
necromancy|mancy,necr|dead divination
necrophobia|necr,phob|fear of dead
necrosis|necr,osis|the state of death
necrotomy|necr,tom|cutting dead bodies
octogon|gon,oct|eight angle
octopus|oct,pod|eight foot
ornithology|logy,ornith|study of birds
ornithophobia|ornith,phob|fear of birds
pachycephalosaurus|cephal,pach,saurus|thick headed lizard
pachyderm|derm,pach|thick skin
pentagamy|gamy,penta|five spouses
pentagon|gon,penta|five angle
phonograph|graph,phon|writing to sound
photograph|graph,photo|light drawing
photosythensis|photo,syn,the|putting light together
podiatry|iatry,pod|foot healing
polychrome|chrom,poly|many colors
polydactyl|dactyl,poly|many fingered
polygamy|gamy,poly|many spouses
polygon|gon,poly|many corners
polypod|pod,poly|many foot
psychiatry|iatry,psych|mind healing
psychology|logy,psych|study of the mind
psychosis|osis,psych|severe mental disorder
pteradactyl|dactyl,pter|winged toes/fingers
pteropod|pod,pter|winged foot
sauropod|pod,saurus|lizard foot
sororicide|cide,soror|killing sister
stasiphobia|phob,stasis|fear of standing
stasis dermatitis|derm,itis,stasis|impaired circulation in legs
static|aerostatic,stasis|stopped
steganography|graph,steg|writing covering
stegosaurus|saurus,steg|covered lizard
submarine|mar,sub|below sea
submerge|merg,sub|plunge below
theromorpha|morph,ther|animal shape
theropod|pod,ther|beast foot
therosaurus|saurus,ther|beast lizard
triceratops|cerat,ops,tri|three horned face
trigon|gon,tri|three angle
tripod|pod,tri|three foot
tyrannosaurus rex|rex,saurus|tyrant lizard king
unicorn|cerat,un|one horn
unicycle|cycl,un|one circle
universe|un,verse|turned to one
zoology|logy,zo|study of animals
zoophobia|phob,zo|fear of animals
